Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB
ARI,30,29.1,4.40,35,1320,1161,154,265,60,12,41,149,22,8,136,336,.228,.311,.407,.717,90,472,22,7,7,9,6,224
ATL,39,27.9,5.35,34,1371,1219,182,329,77,6,40,173,25,9,118,268,.270,.338,.441,.779,115,538,23,12,12,10,11,253
BAL,34,28.6,3.49,35,1329,1202,122,270,56,4,37,121,13,4,107,339,.225,.292,.370,.662,83,445,26,10,3,7,9,238
BOS,28,27.5,5.54,35,1386,1249,194,335,87,5,46,183,18,4,106,270,.268,.330,.456,.787,108,570,22,16,2,13,5,243
CHC,31,26.9,5.00,33,1318,1172,165,291,61,11,36,155,6,5,105,278,.248,.322,.411,.734,98,482,16,25,11,4,10,247
CHW,33,26.7,3.97,33,1258,1135,131,277,51,10,42,127,31,7,92,312,.244,.310,.418,.728,100,474,34,19,6,6,0,219
CIN,34,27.5,4.06,36,1394,1218,146,295,60,3,31,141,15,3,139,287,.242,.325,.373,.697,92,454,31,14,14,9,6,273
CLE,32,29.3,4.51,35,1358,1225,158,295,64,2,50,151,21,9,106,314,.241,.308,.419,.727,91,513,16,16,5,5,5,239
COL,30,28.6,4.06,36,1332,1180,146,269,46,6,46,140,25,7,125,326,.228,.306,.394,.700,80,465,23,11,10,6,8,227
DET,33,28.4,4.43,35,1360,1236,155,320,81,11,30,150,14,8,99,267,.259,.319,.415,.734,97,513,20,14,1,10,8,256
HOU,27,28.1,4.89,38,1470,1294,186,336,72,3,39,178,11,6,143,325,.260,.336,.410,.746,111,531,27,14,2,16,0,277
KCR,32,29.9,4.03,35,1346,1208,141,311,56,3,34,130,15,8,104,252,.257,.323,.393,.716,95,475,35,19,2,13,3,254
LAA,37,30.8,5.09,35,1368,1237,178,320,57,8,49,169,18,3,106,272,.259,.323,.437,.759,108,540,30,15,2,8,6,240
LAD,36,27.9,4.46,35,1399,1226,156,298,71,9,32,146,11,7,137,306,.243,.325,.394,.719,100,483,28,17,8,11,10,265
MIA,34,27.9,3.37,35,1326,1192,118,267,42,3,25,110,8,6,103,313,.224,.294,.327,.622,78,390,28,18,6,5,7,239
MIL,35,28.5,3.75,36,1341,1204,135,283,53,2,40,124,25,8,114,311,.235,.304,.382,.686,86,460,29,8,8,7,8,243
MIN,34,28.7,4.47,32,1263,1125,143,275,75,3,37,135,14,5,119,280,.244,.319,.415,.734,101,467,17,7,4,8,2,242
NYM,35,29.4,4.32,34,1314,1150,147,268,51,6,34,143,14,6,130,311,.233,.316,.377,.693,93,433,26,15,7,12,10,235
NYY,34,27.2,5.71,35,1368,1190,200,296,76,4,50,193,14,4,151,331,.249,.335,.445,.780,107,530,22,10,3,14,8,238
OAK,34,28.5,4.47,36,1380,1236,161,309,72,6,42,155,7,6,117,331,.250,.321,.420,.741,105,519,31,17,1,9,2,246
PHI,31,26.4,4.63,35,1341,1166,162,277,59,5,38,158,20,9,146,345,.238,.325,.395,.720,99,460,31,11,6,11,9,243
PIT,31,28.2,4.94,36,1394,1240,178,321,60,9,39,169,15,10,123,273,.259,.328,.416,.744,105,516,19,12,4,14,12,247
SDP,36,27.3,3.81,37,1373,1234,141,279,52,9,34,132,17,10,114,372,.226,.298,.365,.663,87,451,28,14,5,6,3,233
SEA,32,30.1,4.59,34,1283,1155,156,298,65,4,42,151,23,6,93,256,.258,.321,.430,.751,107,497,23,17,8,8,6,226
SFG,34,30.5,3.97,36,1367,1234,143,309,54,6,35,135,18,6,109,337,.250,.314,.389,.703,94,480,23,9,7,8,8,258
STL,34,28.7,4.35,34,1314,1140,148,260,48,1,42,142,17,12,134,303,.228,.315,.382,.698,94,436,24,17,11,12,5,232
TBR,32,28.5,4.30,33,1267,1123,142,292,47,6,32,133,22,10,113,285,.260,.333,.398,.731,105,447,32,15,5,10,1,235
TEX,33,27.6,4.08,38,1426,1283,155,300,63,4,46,148,15,8,111,377,.234,.302,.397,.699,85,509,25,18,5,9,5,248
TOR,35,29.9,5.00,36,1378,1219,180,278,66,6,51,168,16,5,134,314,.228,.311,.418,.728,94,509,17,16,0,9,7,236
WSN,35,28.6,4.73,37,1439,1238,175,299,58,3,47,166,34,8,165,303,.242,.335,.407,.742,103,504,24,15,9,12,17,274
LgAvg,33,28.4,4.46,35,1353,1203,157,294,61,6,40,149,17,7,120,306,.244,.318,.404,.722,97,485,25,14,6,9,7,244
,987,28.4,4.46,1054,40583,36091,4698,8822,1840,170,1187,4475,524,207,3599,9194,.244,.318,.404,.722,97,14563,752,428,174,281,197,7330
